N,D,bonus,condition,seed,update,eat0,eat1,selectivity,prevalence,zaps,ret
12,100,8.75,none,0,136,99.4296875,109.96875,0.0,0.0,14.828125,-8.69394588470459
12,100,8.75,none,0,137,98.6015625,109.58984375,0.0,0.0,14.546875,-8.570345878601074
12,100,8.75,none,0,138,98.3359375,110.0078125,0.0,0.0,14.7109375,-8.643619537353516
12,100,8.75,none,0,139,98.15234375,111.109375,0.0,0.0,14.36328125,-8.63642692565918
12,100,8.75,none,0,140,97.55078125,110.90625,0.0,0.0,14.98046875,-8.41416072845459
12,100,8.75,none,0,141,98.90625,110.48046875,0.0,0.0,14.125,-8.57236385345459
12,100,8.75,none,0,142,98.6796875,111.0234375,0.0,0.0,13.86328125,-8.366438865661621
12,100,8.75,none,0,143,99.21875,110.92578125,0.0,0.0,14.2109375,-8.559700965881348
12,100,8.75,none,0,144,97.78125,110.921875,0.0,0.0,14.01953125,-8.36044979095459
12,100,8.75,none,0,145,98.78515625,110.3515625,0.0,0.0,14.046875,-8.369368553161621
12,100,8.75,none,0,146,99.73828125,110.6328125,0.0,0.0,13.72265625,-8.484407424926758
12,100,8.75,none,0,147,98.72265625,111.51171875,0.0,0.0,13.65625,-8.256869316101074
12,100,8.75,none,0,148,98.70703125,111.0625,0.0,0.0,13.8984375,-8.405077934265137
12,100,8.75,none,0,149,98.87890625,111.33984375,0.0,0.0,13.18359375,-8.31318473815918
12,100,8.75,none,0,150,98.97265625,111.171875,0.0,0.0,13.69921875,-8.289909362792969
12,100,8.75,none,0,151,99.65625,110.6796875,0.0,0.0,13.6640625,-8.483366966247559
12,100,8.75,none,0,152,99.28515625,110.45703125,0.0,0.0,14.02734375,-8.579264640808105
12,100,8.75,none,0,153,98.61328125,110.5625,0.0,0.0,13.7578125,-8.320280075073242
12,100,8.75,none,0,154,98.45703125,110.140625,0.0,0.0,13.4609375,-8.176985740661621
12,100,8.75,none,0,155,98.69140625,110.87109375,0.0,0.0,13.81640625,-8.132519721984863
12,100,8.75,none,0,156,99.296875,112.3828125,0.0,0.0,12.9453125,-8.136523246765137
12,100,8.75,none,0,157,99.09375,112.0546875,0.0,0.0,12.77734375,-8.137728691101074
12,100,8.75,none,0,158,99.1640625,111.16796875,0.0,0.0,12.60546875,-8.17490291595459
12,100,8.75,none,0,159,98.9296875,111.0546875,0.0,0.0,13.04296875,-8.187142372131348
12,100,8.75,none,0,160,99.78515625,111.78125,0.0,0.0,12.93359375,-8.054492950439453
12,100,8.75,none,0,161,98.875,111.8203125,0.0,0.0,12.94921875,-8.012174606323242
12,100,8.75,none,0,162,98.8359375,110.70703125,0.0,0.0,12.80859375,-8.219955444335938
12,100,8.75,none,0,163,98.88671875,111.94140625,0.0,0.0,12.48828125,-8.16963005065918
12,100,8.75,none,0,164,100.77734375,111.703125,0.0,0.0,12.56640625,-8.247787475585938
12,100,8.75,none,0,165,100.0,112.171875,0.0,0.0,12.5859375,-8.086881637573242
12,100,8.75,none,0,166,99.84375,111.2109375,0.0,0.0,12.5234375,-8.119955062866211
12,100,8.75,none,0,167,100.60546875,113.22265625,0.0,0.0,11.95703125,-8.086881637573242
12,100,8.75,none,0,168,99.15234375,113.15625,0.0,0.0,12.10546875,-7.883073329925537
12,100,8.75,none,0,169,98.56640625,112.29296875,0.0,0.0,12.171875,-7.796126842498779
12,100,8.75,none,0,170,99.12890625,112.59765625,0.0,0.0,12.21875,-7.872135162353516
12,100,8.75,none,0,171,98.35546875,113.49609375,0.0,0.0,12.203125,-7.565690517425537
12,100,8.75,none,0,172,99.0625,113.1640625,0.0,0.0,12.12890625,-7.932389736175537
12,100,8.75,none,0,173,99.28125,113.14453125,0.0,0.0,12.1796875,-7.973046779632568
12,100,8.75,none,0,174,98.80078125,113.23828125,0.0,0.0,11.54296875,-7.565331935882568
12,100,8.75,none,0,175,98.37109375,112.98046875,0.0,0.0,11.93359375,-7.609375
12,100,8.75,none,0,176,99.39453125,112.94140625,0.0,0.0,11.8984375,-7.725911617279053
12,100,8.75,none,0,177,100.37890625,112.3828125,0.0,0.0,11.453125,-7.614583492279053
12,100,8.75,none,0,178,99.93359375,113.359375,0.0,0.0,11.51171875,-7.43613338470459
12,100,8.75,none,0,179,98.7109375,113.46484375,0.0,0.0,11.2578125,-7.48007869720459
12,100,8.75,none,0,180,100.32421875,112.50390625,0.0,0.0,11.28125,-7.809993743896484
12,100,8.75,none,0,181,99.96875,113.0234375,0.0,0.0,11.5078125,-7.682682037353516
12,100,8.75,none,0,182,99.5859375,113.359375,0.0,0.0,11.58203125,-7.641992568969727
12,100,8.75,none,0,183,98.7578125,114.75390625,0.0,0.0,11.21875,-7.4903974533081055
12,100,8.75,none,0,184,99.36328125,113.36328125,0.0,0.0,11.37109375,-7.73544979095459
12,100,8.75,none,0,185,99.8828125,113.17578125,0.0,0.0,11.12890625,-7.741504669189453
12,100,8.75,none,0,186,99.2265625,113.4609375,0.0,0.0,11.453125,-7.794498443603516
12,100,8.75,none,0,187,98.8515625,115.22265625,0.0,0.0,11.0,-7.379036903381348
