N,D,bonus,condition,seed,update,eat0,eat1,selectivity,zaps,ret
12,100,0.5,none,0,184,97.23046875,111.08203125,0.0,17.4921875,-8.054817199707031
12,100,0.5,none,0,185,96.07421875,112.1171875,0.0,17.3515625,-7.886686325073242
12,100,0.5,none,0,186,97.44140625,111.83984375,0.0,17.796875,-8.202831268310547
12,100,0.5,none,0,187,97.1328125,111.765625,0.0,17.79296875,-8.053743362426758
12,100,0.5,none,0,188,96.23046875,111.859375,0.0,17.45703125,-7.926465034484863
12,100,0.5,none,0,189,96.2578125,112.71484375,0.0,17.76953125,-7.681706428527832
12,100,0.5,none,0,190,96.6875,112.42578125,0.0,17.53125,-8.061296463012695
12,100,0.5,none,0,191,97.7109375,111.53515625,0.0,17.5078125,-8.292643547058105
12,100,0.5,none,0,192,96.4609375,112.609375,0.0,17.75,-7.923730373382568
12,100,0.5,none,0,193,95.84375,112.73828125,0.0,17.484375,-7.840657711029053
12,100,0.5,none,0,194,97.48828125,112.47265625,0.0,17.26953125,-7.899381160736084
12,100,0.5,none,0,195,96.56640625,112.0703125,0.0,17.5546875,-8.056836128234863
12,100,0.5,none,0,196,96.1328125,112.6875,0.0,17.25,-7.770312309265137
12,100,0.5,none,0,197,94.87109375,112.05859375,0.0,17.6640625,-7.579980373382568
12,100,0.5,none,0,198,94.92578125,112.65234375,0.0,17.5234375,-7.407422065734863
12,100,0.5,none,0,199,95.9765625,112.296875,0.0,17.4453125,-7.775424003601074
12,100,0.5,none,0,200,96.45703125,112.34765625,0.0,17.41796875,-7.916536331176758
12,100,0.5,none,0,201,95.6171875,112.78515625,0.0,17.34765625,-7.554589748382568
12,100,0.5,none,0,202,96.65625,112.30078125,0.0,17.3515625,-7.797917366027832
12,100,0.5,none,0,203,95.82421875,111.43359375,0.0,17.48046875,-7.812564849853516
12,100,0.5,none,0,204,95.8203125,113.17578125,0.0,17.01171875,-7.475325584411621
12,100,0.5,none,0,205,96.046875,113.25,0.0,17.18359375,-7.500390529632568
12,100,0.5,none,0,206,95.890625,112.17578125,0.0,17.1875,-7.663411617279053
12,100,0.5,none,0,207,95.5625,113.1171875,0.0,17.203125,-7.427831649780273
12,100,0.5,none,0,208,95.7421875,113.5390625,0.0,17.55078125,-7.545539855957031
12,100,0.5,none,0,209,97.5859375,112.8828125,0.0,17.16796875,-7.950423240661621
12,100,0.5,none,0,210,97.34375,113.96484375,0.0,16.88671875,-7.6808271408081055
12,100,0.5,none,0,211,96.78515625,113.91796875,0.0,16.87109375,-7.553092956542969
12,100,0.5,none,0,212,95.40625,114.01953125,0.0,17.25,-7.409505367279053
12,100,0.5,none,0,213,95.87890625,113.4140625,0.0,17.0546875,-7.5304365158081055
12,100,0.5,none,0,214,96.08984375,113.43359375,0.0,16.7890625,-7.672624111175537
12,100,0.5,none,0,215,96.20703125,115.2421875,0.0,16.4140625,-7.3268232345581055
12,100,0.5,none,0,216,96.1640625,113.23046875,0.0,16.89453125,-7.568196773529053
12,100,0.5,none,0,217,96.09765625,113.2265625,0.0,16.796875,-7.667024612426758
12,100,0.5,none,0,218,96.43359375,113.1953125,0.0,17.21875,-7.569498062133789
12,100,0.5,none,0,219,95.625,114.6796875,0.0,16.9921875,-7.2750654220581055
12,100,0.5,none,0,220,95.72265625,112.62109375,0.0,16.9140625,-7.776334762573242
12,100,0.5,none,0,221,96.8828125,112.984375,0.0,17.12109375,-7.681868553161621
12,100,0.5,none,0,222,96.34765625,113.4140625,0.0,17.171875,-7.48496150970459
12,100,0.5,none,0,223,95.125,112.7578125,0.0,16.9453125,-7.6534833908081055
12,100,0.5,none,0,224,96.74609375,113.9375,0.0,16.67578125,-7.37900447845459
12,100,0.5,none,0,225,96.12109375,114.13671875,0.0,16.64453125,-7.51279354095459
12,100,0.5,none,0,226,96.62109375,113.78125,0.0,16.69140625,-7.6656904220581055
12,100,0.5,none,0,227,95.98046875,114.6328125,0.0,16.87109375,-7.285611629486084
12,100,0.5,none,0,228,95.953125,114.01953125,0.0,17.00390625,-7.309146881103516
12,100,0.5,none,0,229,95.42578125,113.52734375,0.0,16.65234375,-7.4474287033081055
12,100,0.5,none,0,230,95.79296875,114.3984375,0.0,16.93359375,-7.118228912353516
12,100,0.5,none,0,231,96.97265625,114.4140625,0.0,16.8359375,-7.443163871765137
12,100,0.5,none,0,232,96.9375,113.9375,0.0,16.6796875,-7.698534965515137
12,100,0.5,none,0,233,96.68359375,114.43359375,0.0,16.8046875,-7.45947265625
12,100,0.5,none,0,234,96.4375,114.6875,0.0,16.6171875,-7.425195217132568
12,100,0.5,none,0,235,96.87109375,113.7421875,0.0,16.83203125,-7.683561325073242
12,100,0.5,none,0,236,96.58203125,114.38671875,0.0,16.24609375,-7.202507019042969
12,100,0.5,none,0,237,96.1875,113.91015625,0.0,16.70703125,-7.6188483238220215
12,100,0.5,none,0,238,96.76171875,113.82421875,0.0,16.44921875,-7.388736724853516
12,100,0.5,none,0,239,96.37890625,114.05859375,0.0,16.34765625,-7.576985836029053
12,100,0.5,none,0,240,96.5625,114.53515625,0.0,16.31640625,-7.476203918457031
12,100,0.5,none,0,241,96.95703125,114.78515625,0.0,16.5703125,-7.508333206176758
12,100,0.5,none,0,242,95.34375,115.22265625,0.0,16.359375,-7.122884273529053
12,100,0.5,none,0,243,95.28515625,114.80859375,0.0,16.90234375,-7.248730659484863
12,100,0.5,none,0,244,95.80078125,114.98046875,0.0,16.80859375,-7.33427619934082
12,100,0.5,none,0,245,96.0625,114.9609375,0.0,16.6484375,-7.292253017425537
12,100,0.5,none,0,246,94.53125,116.0390625,0.0,16.79296875,-7.279687404632568
12,100,0.5,none,0,247,94.875,115.7578125,0.0,16.3515625,-7.0226569175720215
12,100,0.5,none,0,248,95.3828125,114.91015625,0.0,16.85546875,-7.445703029632568
12,100,0.5,none,0,249,95.43359375,114.98046875,0.0,16.5625,-7.0250654220581055
12,100,0.5,none,0,250,94.4921875,116.16015625,0.0,16.609375,-7.091373443603516
12,100,0.5,none,0,251,95.63671875,115.05859375,0.0,16.25,-7.16464900970459
12,100,0.5,none,0,252,94.5625,116.23828125,0.0,16.40625,-6.748274803161621
12,100,0.5,none,0,253,95.1640625,115.703125,0.0,16.37890625,-6.983626842498779
12,100,0.5,none,0,254,95.5859375,115.3671875,0.0,16.46484375,-7.156314849853516
12,100,0.5,none,0,255,95.2890625,117.24609375,0.0,16.11328125,-6.852603912353516
12,100,0.5,none,0,256,95.3046875,116.1953125,0.0,16.1328125,-7.2757487297058105
12,100,0.5,none,0,257,94.84765625,116.49609375,0.0,16.1796875,-7.144824504852295
12,100,0.5,none,0,258,94.62890625,115.84765625,0.0,16.05078125,-6.865918159484863
12,100,0.5,none,0,259,95.8984375,115.2890625,0.0,16.046875,-6.882779598236084
