N,D,bonus,condition,seed,update,eat0,eat1,selectivity,zaps,ret
12,100,4,none,0,169,62.23828125,79.35546875,0.0,58.44140625,1.2186537981033325
12,100,4,none,0,170,61.2265625,79.8046875,0.0,58.57421875,1.4679374694824219
12,100,4,none,0,171,61.43359375,78.97265625,0.0,58.2890625,1.249415397644043
12,100,4,none,0,172,62.4609375,79.7734375,0.0,58.11328125,1.1639337539672852
12,100,4,none,0,173,62.5234375,80.25390625,0.0,58.40625,1.1738622188568115
12,100,4,none,0,174,63.234375,79.578125,0.0,58.16796875,1.0069025754928589
12,100,4,none,0,175,61.19921875,79.8046875,0.0,58.203125,1.3975600004196167
12,100,4,none,0,176,61.3046875,79.13671875,0.0,58.46875,1.3584325313568115
12,100,4,none,0,177,61.3203125,79.48046875,0.0,58.51953125,1.4696955680847168
12,100,4,none,0,178,60.9609375,79.1484375,0.0,58.55859375,1.4942396879196167
12,100,4,none,0,179,61.2734375,79.453125,0.0,58.7578125,1.4602878093719482
12,100,4,none,0,180,60.43359375,80.6796875,0.0,58.8828125,1.8772801160812378
12,100,4,none,0,181,60.671875,80.3359375,0.0,58.85546875,1.4187190532684326
12,100,4,none,0,182,61.921875,79.59375,0.0,58.74609375,1.4080092906951904
12,100,4,none,0,183,61.9140625,79.9296875,0.0,58.5859375,1.309734582901001
12,100,4,none,0,184,59.7109375,80.8046875,0.0,58.79296875,1.8101904392242432
12,100,4,none,0,185,61.453125,80.2890625,0.0,58.484375,1.4822280406951904
12,100,4,none,0,186,61.796875,79.52734375,0.0,58.55078125,1.2663100957870483
12,100,4,none,0,187,61.1953125,79.84765625,0.0,59.015625,1.5723645687103271
12,100,4,none,0,188,60.69921875,80.22265625,0.0,59.1171875,1.6501967906951904
12,100,4,none,0,189,60.79296875,80.86328125,0.0,58.91015625,1.7785820960998535
12,100,4,none,0,190,61.578125,80.5,0.0,58.8046875,1.5960301160812378
12,100,4,none,0,191,62.1328125,79.7578125,0.0,58.8671875,1.5340182781219482
12,100,4,none,0,192,61.26953125,80.67578125,0.0,59.234375,1.6254572868347168
12,100,4,none,0,193,60.125,80.37890625,0.0,59.2890625,1.8277356624603271
12,100,4,none,0,194,61.35546875,80.05078125,0.0,58.625,1.5461928844451904
12,100,4,none,0,195,61.6953125,80.4921875,0.0,59.0625,1.5951511859893799
12,100,4,none,0,196,61.234375,80.13671875,0.0,58.65234375,1.5226577520370483
12,100,4,none,0,197,60.47265625,80.30859375,0.0,59.3984375,1.7995132207870483
12,100,4,none,0,198,60.84375,80.5234375,0.0,58.76171875,1.5553072690963745
12,100,4,none,0,199,61.2109375,79.33984375,0.0,59.05859375,1.5303726196289062
12,100,4,none,0,200,60.66015625,80.484375,0.0,59.26171875,1.6821630001068115
12,100,4,none,0,201,60.46484375,80.5390625,0.0,59.18359375,1.6528010368347168
12,100,4,none,0,202,60.71484375,79.6875,0.0,59.47265625,1.6008477210998535
12,100,4,none,0,203,60.82421875,80.24609375,0.0,59.07421875,1.5802748203277588
12,100,4,none,0,204,60.046875,80.28515625,0.0,59.26171875,1.7040704488754272
12,100,4,none,0,205,60.234375,80.734375,0.0,59.0234375,1.6381524801254272
12,100,4,none,0,206,60.59375,80.42578125,0.0,59.34765625,1.5501642227172852
12,100,4,none,0,207,60.51953125,80.32421875,0.0,59.33984375,1.5625990629196167
12,100,4,none,0,208,60.62109375,80.4765625,0.0,59.0,1.6736993789672852
12,100,4,none,0,209,60.36328125,80.4453125,0.0,59.5546875,1.5887384414672852
12,100,4,none,0,210,60.55078125,80.76171875,0.0,59.34375,1.6605485677719116
12,100,4,none,0,211,60.3515625,80.51171875,0.0,59.1953125,1.6998062133789062
12,100,4,none,0,212,60.296875,79.9140625,0.0,59.26171875,1.5735042095184326
12,100,4,none,0,213,60.9765625,81.0859375,0.0,58.7109375,1.573894739151001
12,100,4,none,0,214,60.98046875,80.03125,0.0,59.23828125,1.6353530883789062
12,100,4,none,0,215,60.83203125,80.84765625,0.0,59.33984375,1.8066420555114746
12,100,4,none,0,216,59.62890625,81.90234375,0.0,59.1796875,1.7580745220184326
12,100,4,none,0,217,59.9453125,80.734375,0.0,59.24609375,1.856609582901001
12,100,4,none,0,218,61.05859375,79.8359375,0.0,58.78125,1.4380548000335693
12,100,4,none,0,219,61.109375,81.1328125,0.0,59.40625,1.7070326805114746
12,100,4,none,0,220,60.30078125,80.55078125,0.0,58.9609375,1.571908950805664
12,100,4,none,0,221,59.15234375,80.8203125,0.0,59.57421875,2.058790683746338
12,100,4,none,0,222,60.3203125,80.734375,0.0,59.25,1.7111995220184326
12,100,4,none,0,223,60.00390625,80.78515625,0.0,59.703125,1.6731786727905273
12,100,4,none,0,224,59.87109375,81.22265625,0.0,59.546875,1.780177116394043
12,100,4,none,0,225,60.00390625,81.12890625,0.0,59.6484375,1.8759779930114746
12,100,4,none,0,226,60.51953125,80.94921875,0.0,59.234375,1.802149772644043
12,100,4,none,0,227,59.69140625,80.55859375,0.0,59.66015625,1.8948256969451904
12,100,4,none,0,228,60.63671875,80.71875,0.0,59.28125,1.640268325805664
12,100,4,none,0,229,59.0625,80.5,0.0,59.890625,1.806641936302185
12,100,4,none,0,230,59.8828125,80.20703125,0.0,59.5546875,1.5385431051254272
12,100,4,none,0,231,59.84765625,80.7734375,0.0,59.59375,1.6319026947021484
12,100,4,none,0,232,60.6015625,80.02734375,0.0,59.42578125,1.681544542312622
12,100,4,none,0,233,59.4765625,79.83203125,0.0,59.515625,1.842449426651001
12,100,4,none,0,234,58.7109375,81.34765625,0.0,60.05859375,2.0222997665405273
12,100,4,none,0,235,58.29296875,80.50390625,0.0,60.07421875,1.922527551651001
